age,income,score,category,satisfaction
56,,56.32755719763837,B,2
69,112093.0,69.55160864261275,B,1
46,119299.0,13.93314544058757,C,5
32,149293.0,60.44173792778172,B,4
60,52606.0,53.98410913016731,A,2
25,,20.30612247347694,C,1
78,31534.0,94.2853570557981,A,4
38,114663.0,59.8865466488536,A,5
56,60397.0,69.47849330397045,B,4
75,146678.0,88.04678390152577,B,1
36,111387.0,62.43540481337932,B,4
40,21016.0,29.5633685837714,B,3
28,109789.0,10.54942598302706,B,4
28,75591.0,45.653457048291024,C,2
41,109812.0,21.84404372168336,A,2
70,43247.0,41.65099478703662,A,3
53,44300.0,88.32802589188682,A,1
57,94065.0,32.434502100527396,A,2
41,102798.0,12.208795470067335,B,5
20,29268.0,35.62978380769749,A,2
39,106807.0,90.6828441545754,C,2
70,32185.0,27.213224938463533,C,1
19,83704.0,64.76901205413623,A,4
41,106779.0,0.05203769953158188,A,2
61,59099.0,35.2568856334169,C,3
47,28571.0,30.478125815802905,C,4
55,143372.0,16.465585314294174,B,5
19,125512.0,53.4089419375442,C,1
77,58044.0,48.48299713589832,B,5
38,71214.0,69.24360328902704,B,4
50,81228.0,26.941233379852147,B,4
29,134752.0,24.412552224777418,B,4
75,68984.0,16.829104217293057,B,5
39,60774.0,21.876421957307024,A,4
78,22568.0,55.81020020173412,C,5
61,140151.0,40.383617105804085,B,4
42,82592.0,6.4892247108981564,C,3
66,87563.0,25.39154139343447,C,4
44,22695.0,24.68760628386012,B,5
76,144375.0,69.63042728397883,A,2
59,68190.0,71.2270589924442,B,4
45,25258.0,14.808692995339989,A,2
77,107538.0,99.77404850489418,C,3
33,59504.0,26.6781014275285,A,1
32,53159.0,97.66149558326529,A,3
79,33986.0,41.10370133182313,A,4
79,81858.0,3.3050732900548385,C,2
64,149312.0,34.5071248026683,C,2
79,32666.0,63.435134470136376,A,5
68,58660.0,68.07054515547668,A,2
61,23561.0,53.09345833171364,B,5
72,46854.0,44.77831645730917,A,1
69,84505.0,55.28930890713279,B,4
74,,59.26967238793935,A,5
20,72251.0,8.085332633271525,B,1
54,42662.0,36.96544560614045,C,2
68,28392.0,24.215993827742587,A,2
24,50535.0,80.31397563798959,A,1
38,98603.0,47.03006344460384,A,2
26,133569.0,98.34231408948429,A,1
56,72256.0,39.88244424445531,B,5
35,109135.0,81.6431873219384,A,5
21,147478.0,79.83451249845511,C,1
42,,15.071754396542946,C,5
77,97373.0,50.81987767407187,A,5
31,99575.0,69.58128067908818,C,5
67,143684.0,85.83588048137199,A,3
75,116354.0,32.595890520188476,A,4
26,104651.0,22.02410475655483,C,2
43,83335.0,71.11495324380178,A,3
70,,80.95010461397155,C,5
19,44538.0,34.866598729172935,B,1
37,,9.617655109142076,A,5
45,90592.0,94.0523264489604,B,4
64,,39.75720210875223,C,5
77,,51.77513505274801,B,1
24,28110.0,83.7710105907328,B,4
61,99309.0,67.56901170392807,C,5
78,47266.0,73.5216119240772,B,4
25,72992.0,20.907162073771367,B,2
64,102948.0,54.14479738275658,C,2
52,142073.0,69.57843993450822,B,5
31,,22.855002179729965,C,4
34,26910.0,17.49549270959362,B,1
53,,98.21683433294356,C,5
67,110982.0,51.66358912710143,C,2
57,141626.0,26.0829174830409,B,2
21,139176.0,99.62536997579244,B,5
19,20206.0,96.54193512887936,B,4
79,107054.0,55.82934536070976,A,2
23,107897.0,88.26363431893397,A,4
71,142409.0,18.870710834137938,A,2
59,43419.0,27.887135259218187,C,2
21,70636.0,70.03578299727712,B,3
71,142546.0,84.66611422383059,C,2
46,134238.0,85.63242918780925,A,1
35,70015.0,40.45081271221901,B,5
43,137478.0,88.77700987609597,C,5
61,142096.0,85.09284487675127,B,4
51,127059.0,93.56349942209475,C,2
